RST_NAME,LC_LA,LC_LO,RST_CATEGORY,VEGAN_MENU,RST_ADDR,RST_TEL
52푸드,35.1271974,126.9121064,카페,비건오트라떼.비건블랙라떼,광주광역시 남구 봉선중앙로68번길 5,1544-3027
초량온당,35.1234207,129.041547,베이커리.카페,비건 단호박 파운드.비건 단호박 파운드.비건 쑥 파운드.비건 쑥 파운드,부산광역시 동구 초량중로 135,010-2137-1271
도이첸,35.0133179,126.7919712,양식,베지테리언(M).베지테리언(L),전라남도 나주시 호수로 86,010-2154-4885
비정제,37.5098516,127.1105857,기타,비건으로 변경,서울특별시 송파구 오금로18길 9,010-2419-5355
꼼빠뇽베이커리,35.1411548,129.0557867,베이커리.카페,쑥팥빵(비건).호두크랜베리빵(비건).호두크랜베리빵(비건).올리브치아바타(비건).올리브치아바타(비건).무화과빵(비건).무화과빵(비건).탕종식빵(비건).탕종식빵(비건).쑥식빵(비건).치아바타(비건).치아바타(비건).밤식빵(비건).밤식빵(비건).쑥식빵(비건).쑥팥빵(비건).통호밀빵(비건).통호밀빵(비건),부산광역시 동구 범곡로28번길 16,010-2425-3266
꼼빠뇽베이커리,35.1411548,129.0557867,베이커리.카페,밤식빵(비건).밤식빵(비건).쑥식빵(비건).통호밀빵(비건).통호밀빵(비건).쑥팥빵(비건).쑥팥빵(비건).호두크랜베리빵(비건).호두크랜베리빵(비건).치아바타(비건).올리브치아바타(비건).올리브치아바타(비건).무화과빵(비건).무화과빵(비건).탕종식빵(비건).탕종식빵(비건).쑥식빵(비건).치아바타(비건),부산광역시 동구 범곡로28번길 16,010-2425-3266
마르뜨,37.5565495,126.9048211,카페,비건 팥빙수,서울특별시 마포구 포은로 106-1,010-2638-3442
테르찌 커피,34.4812765,126.2692198,카페,히비스커스 비건디,전라남도 진도군 진도읍 동외1길 8,010-3324-7118
진실롱,37.5297624,126.9245374,카페,비건그라놀라.비건파운드.비건쿠키,서울특별시 영등포구 은행로 54,010-3390-4663
작은부엌,33.5116944,126.7059002,기타,비건채식풀코스,제주특별자치도 제주시 조천읍 선흘동2길 1,010-4699-3179
고블린 피자,37.5928156,126.9652498,양식,베지테리안(M).베지테리안(L),서울특별시 종로구 창의문로 138,010-5568-1876
소랑햄수다,33.4986739,126.5202544,카페,오스트리아 비건 음료,제주특별자치도 제주시 서사로21길 4,010-6235-3773
코앤텍스트,37.4729875,126.636685,카페,스모디보울(논비건).스무디보울(비건),인천광역시 동구 송림로 12,010-6616-9763
더순수브레드,35.8808588,128.5969432,베이커리.카페,비건 자색고구마 찹쌀 쌀빵.비건 100% 통밀빵.비건 밤쌀빵.비건 크림 쌀빵.비건 크림 쌀빵.비건 자색고구마 찹쌀 쌀빵.비건 밤쌀빵.비건 시나몬뱅 쌀빵.비건 시나몬뱅 쌀빵.비건 블루베리 쌀빵.비건 블루베리 쌀빵.비건 씨앗호떡 쌀빵.비건 씨앗호떡 쌀빵.비건 100% 통밀빵,대구광역시 북구 중앙대로 540,010-8290-1427
베이글 베이글 베이글,35.1474237,126.9221328,양식.카페,비건 베이글.비건 베이글.비건.비건,광주광역시 동구 제봉로 102,010-8372-7718
세자매바른빵,35.1736787,129.0659795,베이커리.카페,야채식빵.야채식빵,부산광역시 부산진구 범양로120번길 6,010-8375-3816
이토스,35.865949,128.5976287,양식,비건 칼조네,대구광역시 중구 동성로3길 12-3,010-8592-9385
팜투하:녹,37.2835095,127.0113908,카페,풀드포크베리파니니(비건풀드포크),경기도 수원시 팔달구 신풍로23번길 63-18,010-8654-8120
카페스프라우츠,37.7714159,128.9170539,카페,비건 라자냐,강원도 강릉시 하평5길 17,010-8716-1866
로로그린,37.4845525,127.1223042,베이커리.카페,당근케이크 비건 무설탕 글루텐프리.블루베리 크럼블 비건 노밀가루.블루베리 크럼블 비건 노밀가루.두부티라미수 비건 글루텐프리.두부티라미수 비건 글루텐프리.당근케이크 비건 무설탕 글루텐프리.비건 푸딩 글루텐프리 무스 노한천.비건 푸딩 글루텐프리 무스 노한천,서울특별시 송파구 법원로8길 13,010-9069-4532
은가비,37.2805907,127.2317813,카페,에멘탈치즈야채식빵,경기도 용인시 처인구 포곡읍 포곡로285번길 6-4,010-9131-0222
식빵굽는남자,36.9067222,127.543254,베이커리.카페,햄치즈야채식빵.햄치즈야채식빵,충청북도 음성군 맹동면 대하2길 17,010-9995-6974
더캐스크,37.5504239,126.9198183,기타,비건육포.비건샐러드,서울특별시 마포구 잔다리로3안길 27,02-1644-7574
피자연합,37.5217,126.8965675,양식,베지테리안L,서울특별시 영등포구 당산로10길 8,02-2068-5977
SUN THE BUD,37.5261889,127.0417247,양식,비건 초리조 타코.비건 시저 샐러드.비건 그릴 치즈 샌드위치.언리미트비건 버거,서울특별시 강남구 압구정로60길 18,02-2138-1377
에볼루션,37.5203215,127.0285041,양식,더 비건 샐러드,서울특별시 강남구 도산대로 203,02-2160-8989
로컬릿,37.5409746,127.0147495,양식,비건 바질 파스타,서울특별시 성동구 한림말길 33,02-2282-1124
스무디킹,37.5172058,126.903714,카페,비건초콜릿칩머핀+스무디세트.비건애플크럼블케익+스무디세트.비건초콜릿칩머핀+커피세트.비건애플크럼블케익+커피세트,서울특별시 영등포구 영중로 15,02-2638-2650
낙원,37.5471992,126.819123,한식,채식 상차림,서울특별시 강서구 방화대로 94,02-2660-9010
봉래헌,37.5471992,126.819123,한식,채식,서울특별시 강서구 방화대로 94,02-2660-9020
바리,37.5636696,126.976307,기타,비건크림수프.비건크림수프,서울특별시 중구 서소문로 138,02-310-9593
카우떡볶이,37.5595846,126.9439602,한식,비건 떡볶이.비건 감자마요밥.비건 고추장고기볶음밥.비건 쫄라당.비건 짜장떡볶이.비건 단호박.비건 새송이.비건 로제떡볶이.비건 까르보나라.비건 김말이.비건 고구마,서울특별시 서대문구 이화여대길 88-21,02-313-9999
더플레이스,37.5684246,126.9782701,양식,비건 미트 샐러드,서울특별시 중구 세종대로 136,02-318-0913
쿡앤북,37.5462624,126.9163339,카페,비건요거트와 요트밀+제철과일.베지버거와 현미밥(비건데미글라즈소스와 야채).자연식 녹차현미도넛츠와 비건 아이스크림.자연식 두부브라우니와 비건아이스크림.컬리플라워 스테이크(비건 요거트소스).비건 모짜렐라 라자냐(허무스와 통밀빵).비건두유 아이스크림(토핑 구운아몬드).비건 버팔로윙스(캐슈넛크림소스&#38;현미밥).비건두유 아이스크림(라즈베리소스),서울특별시 마포구 성지3길 61,02-325-1028
헬로헬로쑬,37.5559114,126.9260068,기타,퓨전 냉 파스타(비건),서울특별시 마포구 와우산로29바길 12,02-334-3243
잇다프로젝트,37.5644726,126.9256941,양식,파스타(토마토/비건),서울특별시 마포구 성미산로31길 14,02-335-2258
더메리어,37.4995539,127.0313935,양식,아보카도 포 비건,서울특별시 강남구 테헤란로 123,02-335-3600
아이엠어버거,37.5541552,126.9299687,양식,비건 패티로 변경,서울특별시 마포구 와우산로30길 13,02-338-8507
휴가,37.6348572,126.9195953,카페,비건살시챠,서울특별시 은평구 진관2로 19,02-352-7400
미스터피자,37.5586757,126.946346,양식,트러플베지테리안(R).트러플베지테리안(L),서울특별시 서대문구 이화여대8길 10,02-363-3355
로드샌드위치,37.5644288,126.9444221,양식,베지 or 비건,서울특별시 서대문구 연대동문길 45,02-363-4554
피자유니온,37.5457208,127.0772586,양식,베지테리안L,서울특별시 광진구 광나루로 432,02-453-3650
날일달월,37.5503756,127.1092971,기타,생채식 진지,서울특별시 광진구 아차산로78길 7,02-457-0102
캘리포니아피자키친,37.5000263,127.0365456,양식,비건 음료(라임).비건 음료(블러드 오렌지),서울특별시 강남구 테헤란로 152,02-508-5871
인딕슬로우,37.5218999,127.0203335,기타,베지테리언,서울특별시 강남구 압구정로4길 13,02-511-0139
남미 플랜트 랩,37.4806186,126.9832433,기타,비건 먹물 파스타,서울특별시 서초구 방배천로4안길 55,02-522-1276
일무레또,37.5218217,127.0255465,양식,MARINATED CERIGNOLA OLIVES(비건).RUCOLA SALAD(비건),서울특별시 강남구 논현로157길 33,02-540-0401
마사 타코,37.5220013,127.0217585,양식,채식주의 자 케사디아,서울특별시 강남구 압구정로10길 30-8,02-545-6915
빵어니스타,37.5223341,127.0258456,베이커리.카페,비건 다크초콜릿 스트로베리.비건 다크초콜릿 현미크런치.비건 다크초콜릿 현미크런치.비건 다크초콜릿 스트로베리,서울특별시 강남구 도산대로25길 43,02-546-7768
코레아노스 키친,37.5261699,127.0377307,양식,베지테리안 퀘사디아.베지테리안 부리또,서울특별시 강남구 선릉로157길 25,02-547-4427
캘리포니아 피자 키친,37.5116621,127.0594275,양식,비건 음료(라임).메인 토핑(비건 고기).캘리포니아 파워볼(비건 고기).비건 음료(블러드 오렌지),서울특별시 강남구 영동대로 513,02-551-6500
쏭타이,37.5056887,127.0402933,기타,쏨탐(비건).팍붕화이뎅(비건).똠얌꿍(비건).팟타이(비건).팟카파오무쌉(비건).까이팟맷마무어(비건),서울특별시 강남구 테헤란로39길 51,02-554-0342
미스터피자,37.5014221,127.0350367,양식,트러플베지테리안(R).트러플베지테리안(L),서울특별시 강남구 테헤란로25길 11,02-555-2543
스노우폭스,37.4976709,127.029341,일식,다이어트 비건 롤,서울특별시 강남구 테헤란로4길 6,02-556-8082
스노우폭스,37.5000263,127.0365456,일식,다이어트 비건 롤,서울특별시 강남구 테헤란로 152,02-558-8082
커피레이,37.4981124,127.0576716,카페,수제 채식 호두파이(한판).수제 채식 호두파이,서울특별시 강남구 도곡로 433,02-565-2226
더플레이스,37.5116621,127.0594275,양식,비건 미트 샐러드,서울특별시 강남구 영동대로 513,02-6002-1150
밥장인 돼지찌개,37.5567253,126.9254822,한식,비건감자찌개변경.비건감자찌개(1인기준),서울특별시 마포구 양화로18안길 16,02-6052-1833
캘리포니아피자키친,37.5713698,126.8029604,양식,비건 음료(패션 후르츠).비건 음료(블러드 오렌지).비건 음료(라임),서울특별시 강서구 하늘길 38,02-6116-5835
